Player Name,Team-name,Age,Position,App,MinP,Goals,Assist,YC,RC,SPG,PS%,AW,MOTM,Rating
Robert Lewandowski,Barcelona,34,FW,20(1),1682,15,5,0,1,3.8,79,1.6,7,7.53
Karim Benzema,Real Madrid,35,FW,15,1306,11,3,1,0,4.7,87,0.7,4,7.45
Antoine Griezmann,Atletico,31,AM(CLR) FW,18(7),1693,8,8,0,0,2.6,81.5,0.8,5,7.45
Vinícius Júnior,Real Madrid,22,AM(L) FW,24,2122,8,4,8,0,2.5,82.3,,4,7.38
Pedri,Barcelona,20,AM(CL),18(3),1634,6,0,2,0,0.8,88.5,,3,7.28
Federico Valverde,Real Madrid,24,M(CLR),22(),1960,7,2,2,0,2.1,88.2,0.9,4,7.26
Mikel Merino,Real Sociedad,26,M(C),18(3),1607,1,7,5,1,1.5,76.8,3.5,5,7.23
Joselu,Espanyol,32,FW,21(23),1909,12,2,3,0,2.5,61.6,5.6,4,7.22
Rodrygo,Real Madrid,22,AM(CLR) FW,16(6),1546,4,5,2,0,2.9,89.9,0.5,2,7.2
Memphis Depay,Barcelona,29,AM(CL) FW,2,116,1,0,0,0,3.0,83.9,0.5,0,7.2
Aleix García,Girona,25,DMC,25,2148,1,5,1,0,1.2,89.3,0.5,2,7.19
Ousmane Dembélé,Barcelona,25,AM(CLR) FW,14(4),1108,5,5,4,0,2.2,84,0.1,2,7.18
Pape Gueye,Sevilla,24,DMC,5,433,0,3,1,1,1.4,82.8,1.2,1,7.12
Jeremías Ledesma,Cadiz,30,GK,25,2250,0,0,1,0,,44.5,0.3,4,7.11
Gonzalo Escalante,Cadiz,29,DMC,6(),543,2,0,2,0,0.9,76.6,1.7,1,7.11
Sergi Darder,Espanyol,29,M(CL),25,2225,4,2,2,0,1.0,77.7,0.2,4,7.1
Frenkie de Jong,Barcelona,25,D(C) DMC,,1693,2,1,2,0,0.6,90.5,0.8,1,7.09
Enes Ünal,Getafe,25,FW,25,2190,12,3,4,0,2.5,63.6,3.9,3,7.08
José Gayà,Valencia,27,D(L) M(L),19,1636,1,2,4,0,0.7,81.4,0.8,3,7.07
Iago Aspas,Celta Vigo,35,AM(CR) FW,23(2),2108,11,3,3,0,2.4,79.2,0.8,2,7.07
Éder Militão,Real Madrid,25,D(CR),19(2),1668,4,0,3,0,0.8,87.9,2.0,2,7.06
Javi Galán,Celta Vigo,28,D(L) M(L),24(1),2170,0,2,2,0,0.3,79.1,1.0,5,7.06
Toni Kroos,Real Madrid,33,M(C),17(3),1447,2,3,0,1,1.1,95,0.3,1,7.05
Jordi Masip,Real Valladolid,34,GK,17,1518,0,0,2,0,,67.8,0.4,1,7.04
Raphinha,Barcelona,26,AM(LR) FW,14(10),1275,6,4,4,0,2.0,80.6,0.3,4,7.03
Daniel Parejo,Villarreal,33,M(C),25,2209,1,3,3,0,0.7,89.7,0.4,3,7.03
Isi Palazón,Rayo Vallecano,28,AM(R),23(1),1940,5,5,4,0,2.5,79.7,0.8,0,7.02
Vedat Muriqi,Mallorca,28,FW,22,1923,10,2,5,1,2.3,58.1,5.6,3,7.02
Brais Méndez,Real Sociedad,26,AM(CR) FW,22(2),1837,7,3,5,0,1.8,82.9,0.8,1,7.01
Sergi Guardiola,Cadiz,31,FW,3(2),287,2,0,0,0,2.2,76.7,0.6,1,7.0
Aurélien Tchouaméni,Real Madrid,23,DMC,15(5),1252,0,3,1,0,1.1,93.5,1.7,1,6.99
Juan Foyth,Villarreal,25,D(CR) DMC,12(2),1082,1,0,3,0,0.5,88.3,1.3,0,6.99
Marko Dmitrovic,Sevilla,31,GK,2(2),278,0,0,2,0,,63.9,0.3,0,6.98
Jules Koundé,Barcelona,24,D(CR),16(1),1393,0,2,1,0,0.4,89.1,1.3,1,6.97
Gerard Moreno,Villarreal,30,AM(CR) FW,12(3),1034,6,2,4,0,2.3,73.4,1.1,1,6.96
Sergio Busquets,Barcelona,34,DMC,19(2),1563,0,3,4,1,0.3,88.4,2.0,0,6.95
Lucas Robertone,Almeria,25,AM(C),23(1),1846,1,5,6,0,1.0,81.9,0.6,2,6.95
Viktor Tsygankov,Girona,25,AM(CLR),4(2),361,1,3,0,0,0.5,71.7,0.2,0,6.94
Alejandro Balde,Barcelona,19,D(LR),19(3),1574,0,4,2,0,0.3,91,0.4,0,6.94
José Giménez,Atletico,28,D(CR),14(2),1341,1,0,7,0,1.0,86.8,1.9,2,6.93
Andreas Christensen,Barcelona,26,D(C) DMC,14(1),1176,0,1,2,0,0.3,93.6,2.1,0,6.92
Ramón Terrats,Villarreal,22,M(C),3(1),239,0,1,0,0,1.8,89.5,1.0,1,6.91
Reinildo,Atletico,29,D(CL) M(L),22,1860,0,0,4,0,0.3,87.1,1.4,1,6.91
Félix Garreta,Real Betis,18,DEFENDER,1,90,0,0,0,0,,87.2,1.0,0,6.9
Marc-André ter Stegen,Barcelona,30,GK,25,2250,0,0,0,0,,82.5,0.2,0,6.89
Iván Villar,Celta Vigo,25,GK,6,540,0,0,0,0,,61.4,,0,6.88
Gabri Veiga,Celta Vigo,20,M(C),17(7),1440,8,3,4,1,1.9,79.7,0.5,2,6.87
Aitor Fernández,Osasuna,31,GK,13,1170,0,0,1,0,,58.1,0.2,1,6.87
Guido Rodríguez,Real Betis,28,DMC,20(1),1708,0,0,6,0,0.5,88,1.3,1,6.87
