Player Name,Team-name,Age,Position,App,MinP,Goals,Assist,YC,RC,SPG,PS%,AW,MOTM,Rating,Goals_per90,Assists_per90,GI_per90,Cards_per90,Rating_norm,PS_Category
Robert Lewandowski,Barcelona,34,FW,20(1),1682,15,5,0,1,3.8,79.0,1.6,7,7.53,0.8,0.27,1.07,0.05,1.0,Average
Karim Benzema,Real Madrid,35,FW,15,1306,11,3,1,0,4.7,87.0,0.7,4,7.45,0.76,0.21,0.96,0.07,0.99,Good
Antoine Griezmann,Atletico,31,AM(CLR) FW,18(7),1693,8,8,0,0,2.6,81.5,0.8,5,7.45,0.43,0.43,0.85,0.0,0.99,Good
Vinícius Júnior,Real Madrid,22,AM(L) FW,24,2122,8,4,8,0,2.5,82.3,,4,7.38,0.34,0.17,0.51,0.34,0.98,Good
Pedri,Barcelona,20,AM(CL),18(3),1634,6,0,2,0,0.8,88.5,,3,7.28,0.33,0.0,0.33,0.11,0.97,Good
Federico Valverde,Real Madrid,24,M(CLR),22(),1960,7,2,2,0,2.1,88.2,0.9,4,7.26,0.32,0.09,0.41,0.09,0.96,Good
Mikel Merino,Real Sociedad,26,M(C),18(3),1607,1,7,5,1,1.5,76.8,3.5,5,7.23,0.06,0.39,0.45,0.34,0.96,Average
Joselu,Espanyol,32,FW,21(23),1909,12,2,3,0,2.5,61.6,5.6,4,7.22,0.57,0.09,0.66,0.14,0.96,Poor
Rodrygo,Real Madrid,22,AM(CLR) FW,16(6),1546,4,5,2,0,2.9,89.9,0.5,2,7.2,0.23,0.29,0.52,0.12,0.96,Good
Memphis Depay,Barcelona,29,AM(CL) FW,2,116,1,0,0,0,3.0,83.9,0.5,0,7.2,0.78,0.0,0.78,0.0,0.96,Good
Aleix García,Girona,25,DMC,25,2148,1,5,1,0,1.2,89.3,0.5,2,7.19,0.04,0.21,0.25,0.04,0.95,Good
Ousmane Dembélé,Barcelona,25,AM(CLR) FW,14(4),1108,5,5,4,0,2.2,84.0,0.1,2,7.18,0.41,0.41,0.81,0.32,0.95,Good
Pape Gueye,Sevilla,24,DMC,5,433,0,3,1,1,1.4,82.8,1.2,1,7.12,0.0,0.62,0.62,0.42,0.95,Good
Jeremías Ledesma,Cadiz,30,GK,25,2250,0,0,1,0,,44.5,0.3,4,7.11,0.0,0.0,0.0,0.04,0.94,Poor
Gonzalo Escalante,Cadiz,29,DMC,6(),543,2,0,2,0,0.9,76.6,1.7,1,7.11,0.33,0.0,0.33,0.33,0.94,Average
Sergi Darder,Espanyol,29,M(CL),25,2225,4,2,2,0,1.0,77.7,0.2,4,7.1,0.16,0.08,0.24,0.08,0.94,Average
Frenkie de Jong,Barcelona,25,D(C) DMC,,1693,2,1,2,0,0.6,90.5,0.8,1,7.09,0.11,0.05,0.16,0.11,0.94,Excellent
Enes Ünal,Getafe,25,FW,25,2190,12,3,4,0,2.5,63.6,3.9,3,7.08,0.49,0.12,0.62,0.16,0.94,Poor
José Gayà,Valencia,27,D(L) M(L),19,1636,1,2,4,0,0.7,81.4,0.8,3,7.07,0.06,0.11,0.17,0.22,0.94,Good
Iago Aspas,Celta Vigo,35,AM(CR) FW,23(2),2108,11,3,3,0,2.4,79.2,0.8,2,7.07,0.47,0.13,0.6,0.13,0.94,Average
Éder Militão,Real Madrid,25,D(CR),19(2),1668,4,0,3,0,0.8,87.9,2.0,2,7.06,0.22,0.0,0.22,0.16,0.94,Good
