Team-name,Players,Avg_Age,Total_Goals,Avg_Goals_per90,Total_Assists,Avg_rating,Total_minutes,Total_YC,Total_RC
Almeria,27,26.07,27,0.1,21,6.4,24437,67,3
Athletic Bilbao,25,27.44,32,0.09,24,6.5,24596,46,4
Atletico,23,28.09,34,0.16,22,6.61,23469,54,7
Barcelona,27,25.37,47,0.15,36,6.71,24522,53,6
Cadiz,34,28.03,19,0.07,13,6.38,24625,64,7
Celta Vigo,24,26.0,27,0.08,20,6.49,24667,52,4
Elche,31,27.81,19,0.06,12,6.29,24462,71,11
Espanyol,29,25.45,31,0.08,20,6.43,24555,56,7
Getafe,25,26.76,25,0.06,14,6.38,24723,72,8
Girona,27,25.89,33,0.13,27,6.48,24308,61,1
Mallorca,25,28.08,21,0.07,17,6.41,24547,89,2
Osasuna,23,27.35,21,0.07,16,6.5,24630,68,5
Rayo Vallecano,27,28.19,26,0.06,18,6.32,24581,64,2
Real Betis,30,28.03,30,0.1,14,6.56,24517,54,10
Real Madrid,24,27.38,50,0.33,36,6.73,24748,47,1
Real Sociedad,29,24.72,31,0.13,24,6.54,24359,63,2
Real Valladolid,30,27.13,18,0.08,15,6.47,23420,57,5
Sevilla,30,27.37,28,0.1,18,6.45,23411,77,9
Valencia,25,24.04,26,0.09,15,6.46,24460,64,5
Villarreal,27,27.41,28,0.1,16,6.54,23362,56,3
